# SIT测试环境  
(4core 8G)  
2个节点  

## 版本  
1开发  
5开发  
20开发  
100开发  

## 服务接口  
### 登录  
| 请求总数 | 平均响应时间(ms) | 90%请求响应时间(ms) | 95%请求响应时间(ms) | 99%请求响应时间(ms) | 吞吐率TPS | 流量KB/S |
|---|---|---|---|---|---|---|
| 1345    | 11    | 15    | 16    | 25    | 84.2    | 31.45    |
| 4415    | 11    | 14    | 17    | 23    | 422    | 157.59    |
| 11204    | 13    | 18    | 21    | 28    | 1341.8   | 500.66    |
| 21293    | 64    | 72    | 115    | 168    | 1497.1   | 556.52    |

### 网点不一致事件抽查  
#### 领取任务  
| 请求总数 | 平均响应时间(ms) | 90%请求响应时间(ms) | 95%请求响应时间(ms) | 99%请求响应时间(ms) | 吞吐率TPS | 流量KB/S |
|---|---|---|---|---|---|---|
| 40    | 5197    | 6037    | 6267    | 6695    | 0.2    | 0.08    |

### 网点不一致事件抽查  
#### 提交任务  
| 请求总数 | 平均响应时间(ms) | 90%请求响应时间(ms) | 95%请求响应时间(ms) | 99%请求响应时间(ms) | 吞吐率TPS | 流量KB/S |
|---|---|---|---|---|---|---|
| 1190    | 15    | 21    | 27    | 33    | 287.1    | 125.09    |

### 派件GIS地址推荐网点  
| 请求总数 | 平均响应时间(ms) | 90%请求响应时间(ms) | 95%请求响应时间(ms) | 99%请求响应时间(ms) | 吞吐率TPS | 流量KB/S |
|---|---|---|---|---|---|---|
| 2656    | 143    | 242    | 289    | 440    | 32.1    | 14.06    |
| 5106    | 303    | 494    | 584    | 849    | 44.5    | 19.47    |
| 8037    | 1161    | 1617    | 1962    | 2295    | 84.5    | 36.61    |

### 派件GIS电话网点  
| 请求总数 | 平均响应时间(ms) | 90%请求响应时间(ms) | 95%请求响应时间(ms) | 99%请求响应时间(ms) | 吞吐率TPS | 流量KB/S |
|---|---|---|---|---|---|---|
| 1045    | 10    | 13    | 17    | 26    | 43.7    | 16.05    |
| 2719    | 8    | 10    | 12    | 21    | 242.7    | 89.18    |
| 7413    | 13    | 16    | 20    | 39    | 525.3    | 193.24    |
| 11914    | 47    | 81    | 110    | 169    | 660.1    | 242.05    |

### 派件SSS电话网点  
| 请求总数 | 平均响应时间(ms) | 90%请求响应时间(ms) | 95%请求响应时间(ms) | 99%请求响应时间(ms) | 吞吐率TPS | 流量KB/S |
|---|---|---|---|---|---|---|
| 3283    | 16    | 19    | 22    | 31    | 35.8    | 12.84    |
| 4950    | 16    | 19    | 24    | 35    | 172.3    | 61.67    |
| 8858    | 20    | 32    | 38    | 59    | 566.7    | 202.86    |
| 11867    | 71    | 106    | 125    | 172    | 735.5    | 262.69    |

### 派件GIS根据地址获取经纬度  
| 请求总数 | 平均响应时间(ms) | 90%请求响应时间(ms) | 95%请求响应时间(ms) | 99%请求响应时间(ms) | 吞吐率TPS | 流量KB/S |
|---|---|---|---|---|---|---|
| 1094    | 28    | 36    | 48    | 224    | 24.9    | 11.88    |
| 2114    | 28    | 49    | 55    | 144    | 125.3    | 59.67    |
| 5705    | 47    | 103    | 230    | 311    | 325.6    | 155.12    |
| 10706    | 148    | 332    | 420    | 663    | 520.8    | 247.7    |

### 派件领取任务  
| 请求总数 | 平均响应时间(ms) | 90%请求响应时间(ms) | 95%请求响应时间(ms) | 99%请求响应时间(ms) | 吞吐率TPS | 流量KB/S |
|---|---|---|---|---|---|---|
| 1042    | 79    | 167    | 227    | 402    | 9.3    | 3.76    |

### 派件提交任务  
| 请求总数 | 平均响应时间(ms) | 90%请求响应时间(ms) | 95%请求响应时间(ms) | 99%请求响应时间(ms) | 吞吐率TPS | 流量KB/S |
|---|---|---|---|---|---|---|
| 1041    | 16    | 25    | 29    | 48    | 62.5    | 20.41    |
| 2199    | 19    | 24    | 28    | 45    | 257.1    | 121.09    |
