| 版本 | 服务接口 | 请求总数 | 平均响应时间 (ms) | 90%请求响应时间 (ms) | 95%请求响应时间 (ms) | 99%请求响应时间 (ms) | 吞吐率 TPS | 流量 KB/S |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1并发 | 登录 | 1345 | 11 | 15 | 16 | 25 | 84.2 | 31.45 |
| 5并发 |  | 4415 | 11 | 14 | 17 | 23 | 422 | 157.59 |
| 20并发 |  | 11204 | 13 | 18 | 21 | 28 | 1341.8 | 500.66 |
| 100并发 |  | 21293 | 64 | 72 | 115 | 168 | 1497.1 | 556.52 |
| 1并发 | 网点不一致事中抽查 | 40 | 5197 | 6037 | 6267 | 6695 | 0.2 | 0.08 |
| 1并发 | 网点不一致事中抽查 | 1190 | 15 | 21 | 27 | 33 | 287.1 | 125.09 |
| 1并发 | 派件GIS地址推荐网点 | 1785 | 103 | 195 | 257 | 401 | 8.7 | 3.8 |
| 5并发 | 派件GIS地址推荐网点 | 2656 | 143 | 242 | 289 | 440 | 32.1 | 14.06 |
| 20并发 | 派件GIS地址推荐网点 | 5106 | 303 | 494 | 584 | 849 | 44.5 | 19.47 |
| 100并发 | 派件GIS地址推荐网点 | 8037 | 1161 | 1617 | 1962 | 2295 | 84.5 | 36.61 |
| 1并发 | 派件GIS电话网点 | 1045 | 10 | 13 | 17 | 26 | 43.7 | 16.05 |
| 5并发 | 派件GIS电话网点 | 2719 | 8 | 10 | 12 | 21 | 242.7 | 89.18 |
| 20并发 | 派件GIS电话网点 | 7413 | 13 | 16 | 20 | 39 | 525.3 | 193.24 |
| 100并发 | 派件SSS电话网点 | 11914 | 47 | 81 | 110 | 169 | 660.1 | 242.05 |
| 1并发 | 派件SSS电话网点 | 3283 | 16 | 19 | 22 | 31 | 35.8 | 12.84 |
| 5并发 | 派件SSS电话网点 | 4950 | 16 | 19 | 24 | 35 | 172.3 | 61.67 |
| 20并发 | 派件SSS电话网点 | 8858 | 20 | 32 | 38 | 59 | 566.7 | 202.86 |
| 100并发 | 派件SSS电话网点 | 11867 | 71 | 106 | 125 | 172 | 735.5 | 262.69 |
| 1并发 | 派件GIS根据地址获取经纬度 | 1094 | 28 | 36 | 48 | 224 | 24.9 | 11.88 |
| 5并发 | 派件GIS根据地址获取经纬度 | 2114 | 28 | 49 | 55 | 144 | 125.3 | 59.67 |
| 20并发 | 派件GIS根据地址获取经纬度 | 5705 | 47 | 103 | 230 | 311 | 325.6 | 155.12 |
| 100并发 | 派件GIS根据地址获取经纬度 | 10706 | 148 | 332 | 420 | 663 | 520.8 | 247.7 |
| 1并发 | 派件领取任务 | 1042 | 79 | 167 | 227 | 402 | 9.3 | 3.76 |
| 1并发 | 派件提交任务 | 1041 | 16 | 25 | 29 | 48 | 62.5 | 20.41 |
| 5并发 | 派件提交任务 | 2199 | 19 | 24 | 28 | 45 | 257.1 | 121.09 |
