# 部份大型屋苑成交叹價

## 成交宗數

| (資料來源 - 土地註冊處) | 最近30天 | 上月同比 | 差幅(%) |
|---|---|---|---|
| 太古城    | 32    | 35    | -8.6%   |
| 杏花邨    | 24    | 16    | 50.0%   |
| 海怡半島    | 15    | 16    | -6.3%   |
| 寶翠園    | 1    | 3    | -66.7%  |
| 置富花園    | 9    | 6    | 50.0%   |
| 美孚新邨    | 35    | 34    | 2.9%    |
| 麗港城    | 21    | 26    | -19.2%  |
| 黃埔花園    | 21    | 28    | -25.0%  |
| 柏景灣    | 3    | 6    | -50.0%  |
| 淘大花園    | 23    | 23    | 0.0%    |
| 嘉湖山莊    | 58    | 77    | -24.7%  |
| 沙田第一城    | 42    | 63    | -33.3%  |
| 大埔中心    | 19    | 15    | -26.7%  |
| 映灣園    | 16    | 18    | -11.1%  |
| 珀麗灣    | 32    | 31    | -3.2%   |
| 將軍澳中心    | 16    | 27    | -40.7%  |

## 叹價 (元)

| 最近30天 | 最近30天建築 | 最近30天實用 | 與上月同比實用差幅% | 平均實用率 |
|---|---|---|---|---|
| 11,996    | 13,780    | 1.6%    | 86%    |
| 9,974    | 11,847    | -0.3%    | 84%    |
| 9,648    | 12,084    | -2.6%    | 80%    |
| 14,055    | 18,332    | 2.6%    | 77%    |
| 9,543    | 11,261    | 30.4%    | 85%    |
| 7,368    | 9,833    | 3.5%    | 75%    |
| 7,945    | 9,921    | 2.0%    | 80%    |
| 9,986    | 11,606    | 1.9%    | 86%    |
| 11,619    | 15,602    | -1.0%    | 74%    |
| 8,369    | 10,816    | 0.6%    | 78%    |
| 5,036    | 6,525    | 4.4%    | 77%    |
| 8,848    | 11,162    | 1.0%    | 79%    |
| 7,350    | 9,851    | 0.1%    | 75%    |
| 5,960    | 8,007    | -0.1%    | 74%    |
| 6,904    | 8,985    | 1.2%    | 77%    |
| 8,203    | 10,977    | -0.1%    | 75%    |
